Session ID,User ID,Traffic Source,Campaign,Device,Session Start,Lead Form Submitted,Trial Started,Subscription Purchased
SESS-100112,USR-206647,Paid Search,Brand Awareness,Tablet,2026-06-02 10:22:22,2026-06-02 10:29:22,2026-06-04 17:29:22,
SESS-100113,USR-206752,Paid Search,Spring Promo,Tablet,2026-05-16 07:24:38,2026-05-16 07:48:38,2026-05-19 22:48:38,
SESS-100114,USR-206562,Organic Search,None,Mobile,2026-05-16 02:39:10,,,
SESS-100115,USR-203002,Paid Social,Retargeting Ads,Mobile,2026-05-04 10:11:32,,,
SESS-100116,USR-203293,Paid Social,Spring Promo,Desktop,19/05/2026 12:59:04,,,
SESS-100117,USR-200042,Email,Newsletter Vol 12,Tablet,2026-05-02 06:24:47,2026-05-02 06:41:47,2026-05-05 07:41:47,
SESS-100118,USR-200709,Referral,None,Desktop,2026-02-05 00:59:41,,,
SESS-100119,USR-205621,Organic Search,None,Tablet,2026-04-01 12:03:06,,,
SESS-100120,USR-203465,Email,Newsletter Vol 12,Tablet,2026-01-06 00:26:54,,,
SESS-100121,USR-206691,EMAIL,Newsletter Vol 12,MOBILE,2026-06-15 22:17:11,2026-06-15 22:55:11,2026-06-19 09:55:11,
SESS-100122,USR-207685,Paid Search,Winter Sale,Desktop,2026-02-05 08:38:11,2026-02-05 09:20:11,,
SESS-100123,USR-200732,Email,Newsletter Vol 12,Mobile,2026-01-24 15:37:23,2026-01-24 16:03:23,2026-01-28 01:03:23,
SESS-100124,USR-206318,paid search,Brand Awareness,Mobile,2026-06-23 03:47:15,,,
SESS-100125,USR-206458,Paid Social,Winter Sale,Tablet,2026-01-08 22:53:17,,,
SESS-100126,USR-203220,Direct,None,Mobile,2026-05-10 13:56:30,,,
SESS-100127,USR-200537,Direct,None,Mobile,2026-04-09 04:11:40,,,
SESS-100128,USR-205526,Referral,None,Tablet,30/04/2026 06:47:42,,,
SESS-100129,USR-203828,Paid Search,,Mobile,2026-06-09 02:12:44,2026-06-09 02:51:44,2026-06-10 17:51:44,
SESS-100130,USR-204600,Organic Search,None,Tablet,2026-02-13 10:31:14,,,
SESS-100131,USR-206187,Referral,None,Mobile,2026-03-30 18:45:40,,,
SESS-100132,USR-204118,Organic Search,None,Tablet,2026-01-24 21:53:01,,,
SESS-100133,USR-203206,Paid Social,Spring Promo,MOBILE,2026-05-13 16:20:34,,,
SESS-100134,USR-205391,Referral,None,Desktop,2026-05-08 19:26:42,,,
SESS-100135,USR-206407,Email,Newsletter Vol 12,TABLET,2026-01-28 13:49:42,,,
SESS-100136,USR-204661,Organic Search,None,Tablet,2026-03-07 03:54:14,,,
SESS-100137,USR-206668,Referral,None,Tablet,2026-02-08 20:29:11,2026-02-08 21:10:11,2026-02-12 18:10:11,
SESS-100138,USR-206438,email,Newsletter Vol 12,Mobile,2026-05-25 14:01:13,2026-05-25 14:11:13,,
SESS-100139,USR-202190,Email,Newsletter Vol 12,Tablet,2026-01-05 19:36:02,2026-01-05 19:42:02,2026-01-08 02:42:02,
SESS-100140,USR-205757,Direct,None,DESKTOP,2026-03-26 23:05:45,,,
SESS-100141,USR-204975,Organic Search,None,Mobile,12/01/2026 00:32:39,,,
SESS-100142,USR-204517,Email,Newsletter Vol 12,Mobile,2026-03-10 12:47:24,,,
SESS-100143,USR-207653,Direct,None,Desktop,2026-05-13 07:13:23,2026-05-13 07:58:23,,
SESS-100144,USR-203320,Paid Search,Spring Promo,Desktop,2026-01-08 20:55:01,,,
SESS-100145,USR-202781,Organic Search,None,Tablet,25/06/2026 09:55:20,,,
SESS-100146,USR-202913,Paid Social,Retargeting Ads,TABLET,2026-03-23 11:07:00,,,
SESS-100147,USR-201723,Paid Search,Brand Awareness,MOBILE,2026-02-09 23:50:34,,,
SESS-100148,USR-204960,Referral,None,Mobile,2026-02-14 08:10:07,,,
SESS-100149,USR-201644,Paid Social,Brand Awareness,Desktop,2026-06-12 13:40:10,2026-06-12 13:58:10,,
SESS-100150,USR-207200,Email,Newsletter Vol 12,Desktop,2026-03-20 21:21:40,,,
SESS-100151,USR-203903,Organic Search,None,Tablet,2026-05-21 12:46:43,,,
SESS-100152,USR-200106,Referral,None,Mobile,2026-03-29 05:20:41,,,
SESS-100153,USR-202649,Direct,None,Desktop,2026-05-23 00:12:28,,,
SESS-100154,USR-203739,Email,Newsletter Vol 12,Tablet,2026-05-16 11:52:15,,,
SESS-100155,USR-203713,Referral,None,Desktop,2026-06-06 18:59:36,,,
SESS-100156,USR-207200,Paid Search,Brand Awareness,Mobile,2026-04-10 00:49:27,,,
SESS-100157,USR-205594,paid social,Brand Awareness,Mobile,2026-02-18 10:35:10,,,
SESS-100158,USR-200141,Referral,None,Mobile,2026-01-12 18:02:18,,,
SESS-100159,USR-200202,Email,Newsletter Vol 12,Desktop,19/06/2026 19:04:55,,,
SESS-100160,USR-204074,Organic Search,None,Mobile,2026-05-11 01:15:02,,,
SESS-100161,USR-207032,Direct,None,Tablet,2026-06-04 09:44:02,,,
SESS-100162,USR-204623,Paid Search,Retargeting Ads,Desktop,14/06/2026 05:06:43,14/06/2026 05:39:43,,
SESS-100163,USR-205254,Direct,None,Desktop,2026-02-02 11:40:45,2026-02-02 12:14:45,,
SESS-100164,USR-200012,paid social,Winter Sale,Mobile,2026-04-16 17:53:36,,,
SESS-100165,USR-203608,Paid Social,Retargeting Ads,Tablet,2026-05-26 17:32:42,,,
SESS-100166,USR-207035,REFERRAL,None,Tablet,2026-01-04 12:47:55,,,
SESS-100167,USR-205012,REFERRAL,None,mobile,2026-05-09 15:59:32,,,
SESS-100168,USR-201950,Paid Search,Product Launch,Mobile,2026-05-25 02:44:12,2026-05-25 02:59:12,2026-05-26 04:59:12,
SESS-100169,USR-205003,direct,None,Desktop,2026-01-31 08:48:09,,,
SESS-100170,USR-201191,Organic Search,None,Desktop,2026-02-12 18:55:11,,,
SESS-100171,USR-207521,Referral,None,Desktop,08/03/2026 13:58:34,,,
SESS-100172,USR-203331,Referral,None,Tablet,25/02/2026 21:41:27,,,
SESS-100173,USR-200283,Paid Search,Spring Promo,Desktop,2026-03-21 13:19:34,,,
SESS-100174,USR-204801,paid search,Brand Awareness,Desktop,04/04/2026 11:53:08,,,
SESS-100175,USR-202916,Organic Search,None,Tablet,2026-04-19 23:13:24,2026-04-19 23:57:24,,
SESS-100176,USR-201579,Organic Search,None,Mobile,2026-01-22 02:44:58,,,
SESS-100177,USR-203721,Direct,None,Mobile,2026-05-15 18:08:12,,,
SESS-100178,USR-201656,Referral,None,Mobile,2026-02-05 12:52:09,,,
SESS-100179,USR-205365,PAID SEARCH,Retargeting Ads,Desktop,2026-02-19 21:42:04,,,
SESS-100180,USR-203214,Direct,None,Desktop,2026-03-13 12:27:56,,,
SESS-100181,USR-200658,PAID SOCIAL,Product Launch,Tablet,2026-03-27 08:25:17,,,
SESS-100182,USR-200688,Paid Search,Winter Sale,Tablet,2026-05-12 12:29:29,2026-05-12 12:44:29,2026-05-16 06:44:29,
SESS-100183,USR-206400,Direct,None,Mobile,2026-05-09 17:43:23,,,
SESS-100184,USR-207263,Referral,None,TABLET,2026-06-29 15:19:15,,,
SESS-100185,USR-204535,Direct,None,Desktop,2026-03-11 06:02:04,,,
SESS-100186,USR-201897,Referral,None,Mobile,2026-04-13 10:17:55,,,
SESS-100187,USR-206676,Email,Newsletter Vol 12,TABLET,2026-01-04 00:56:28,2026-01-04 01:35:28,2026-01-04 09:35:28,2026-01-11 11:35:28
SESS-100188,USR-200078,Organic Search,None,Tablet,2026-01-01 16:11:37,2026-01-01 16:26:37,,
SESS-100189,USR-203638,Direct,None,Mobile,2026-01-13 07:04:22,,,
SESS-100190,USR-201814,Referral,None,Tablet,2026-03-16 10:36:46,2026-03-16 11:09:46,2026-03-19 05:09:46,
SESS-100191,USR-203207,Paid Social,Retargeting Ads,mobile,2026-03-24 21:02:41,,,
SESS-100192,USR-201688,Direct,None,desktop,11/02/2026 14:30:57,11/02/2026 14:55:57,,
SESS-100193,USR-206793,Organic Search,None,Tablet,04/02/2026 20:42:10,,,
SESS-100194,USR-203969,Referral,None,Tablet,2026-06-22 08:54:09,,,
SESS-100195,USR-206431,organic search,None,Tablet,2026-05-14 09:23:37,,,
SESS-100196,USR-203373,Referral,None,Tablet,2026-05-18 13:32:24,,,
SESS-100197,USR-202430,Paid Search,Product Launch,Tablet,2026-04-22 08:08:09,2026-04-22 08:49:09,2026-04-26 04:49:09,
SESS-100198,USR-200989,Referral,None,Tablet,2026-03-14 06:19:36,2026-03-14 06:44:36,,
SESS-100199,USR-205931,direct,None,Tablet,2026-01-22 20:21:33,,,
SESS-100200,USR-205387,Organic Search,None,Mobile,2026-01-11 09:21:41,,,
SESS-100201,USR-202543,Organic Search,None,tablet,2026-03-18 13:45:28,2026-03-18 14:08:28,2026-03-21 07:08:28,
SESS-100202,USR-203805,Direct,None,Mobile,2026-03-03 16:18:15,,,
SESS-100203,USR-202902,ORGANIC SEARCH,None,Tablet,2026-01-31 04:23:44,,,
SESS-100204,USR-205482,Direct,None,Mobile,2026-04-09 02:00:25,,,
SESS-100205,USR-207446,Email,,Mobile,2026-06-07 12:28:15,2026-06-07 12:38:15,,
SESS-100206,USR-203231,Email,Newsletter Vol 12,Tablet,2026-06-06 11:25:11,,,
SESS-100207,USR-202673,DIRECT,None,Desktop,2026-05-10 18:31:30,,,
SESS-100208,USR-200801,direct,None,TABLET,2026-06-09 17:10:45,,,
SESS-100209,USR-207472,Direct,None,Desktop,2026-05-04 17:28:24,,,
SESS-100210,USR-202829,Referral,None,Mobile,2026-06-08 10:30:53,,,
SESS-100211,USR-204583,Paid Search,Product Launch,Mobile,2026-06-04 15:48:40,2026-06-04 16:01:40,,
SESS-100212,USR-207632,organic search,None,Desktop,2026-06-27 04:47:54,,,
SESS-100213,USR-200218,PAID SEARCH,Brand Awareness,Mobile,2026-04-21 10:53:02,2026-04-21 11:03:02,,
SESS-100214,USR-203912,Referral,None,Desktop,2026-02-15 11:55:43,,,
SESS-100215,USR-201938,Paid Search,Retargeting Ads,Desktop,23/01/2026 21:09:07,,,
SESS-100216,USR-207645,REFERRAL,None,Mobile,2026-03-27 01:16:26,,,
SESS-100217,USR-206876,Referral,None,Tablet,2026-01-13 05:54:01,2026-01-13 05:57:01,,
SESS-100218,USR-202416,Organic Search,None,Tablet,2026-04-01 06:17:12,,,
SESS-100219,USR-207804,Email,Newsletter Vol 12,Tablet,2026-05-19 01:45:22,,,
SESS-100220,USR-203876,Direct,None,Desktop,2026-05-23 14:13:59,,,
SESS-100221,USR-202882,Direct,None,Desktop,2026-06-08 10:01:15,,,
SESS-100222,USR-205384,Paid Search,Brand Awareness,Tablet,2026-03-16 12:35:42,2026-03-16 12:46:42,,
SESS-100223,USR-206945,Email,Newsletter Vol 12,Mobile,2026-01-20 01:38:05,2026-01-20 01:51:05,2026-01-21 12:51:05,2026-02-04 05:51:05
SESS-100224,USR-200142,Email,Newsletter Vol 12,DESKTOP,2026-04-07 00:50:02,2026-04-07 01:09:02,,
SESS-100225,USR-204217,Email,Newsletter Vol 12,desktop,2026-04-29 06:24:01,,,
SESS-100226,USR-202272,Paid Search,Spring Promo,Tablet,2026-03-25 21:26:59,,,
SESS-100227,USR-207106,Direct,None,Mobile,2026-04-04 15:46:05,,,
SESS-100228,USR-207539,referral,None,Tablet,31/03/2026 14:37:03,,,
SESS-100229,USR-206973,paid social,Product Launch,Tablet,2026-06-08 15:39:02,2026-06-08 16:05:02,,
SESS-100230,USR-203455,Direct,None,tablet,2026-01-27 03:09:11,,,
SESS-100231,USR-206428,Direct,None,Tablet,2026-03-11 06:18:26,,,
SESS-100232,USR-204576,Paid Social,Spring Promo,Tablet,2026-05-29 18:00:02,,,
SESS-100233,USR-200403,Email,Newsletter Vol 12,Desktop,2026-03-03 05:30:03,2026-03-03 05:40:03,,
SESS-100234,USR-202840,Referral,None,Desktop,2026-01-14 00:53:01,,,
SESS-100235,USR-203385,paid social,Brand Awareness,Mobile,2026-03-16 15:24:11,,,
SESS-100236,USR-202308,Email,Newsletter Vol 12,Mobile,2026-04-25 23:31:59,,,
SESS-100237,USR-202424,Direct,None,Mobile,2026-03-15 15:06:05,,,
SESS-100238,USR-201918,Paid Social,Product Launch,tablet,2026-04-10 04:50:39,,,
SESS-100239,USR-206633,Direct,None,Desktop,2026-06-20 20:53:34,,,
SESS-100240,USR-203222,Referral,None,Tablet,2026-02-17 02:10:12,,,
SESS-100241,USR-202594,Email,Newsletter Vol 12,Tablet,2026-03-24 08:46:42,,,
SESS-100242,USR-200903,Referral,None,Tablet,2026-01-05 01:33:04,,,
SESS-100243,USR-203112,Paid Social,Spring Promo,Tablet,2026-02-17 04:09:24,,,
SESS-100244,USR-204465,Email,Newsletter Vol 12,Desktop,05/02/2026 06:01:35,,,
SESS-100245,USR-206273,EMAIL,Newsletter Vol 12,Tablet,2026-05-14 11:11:39,,,
SESS-100246,USR-205529,Referral,None,Tablet,2026-06-06 15:27:44,,,
SESS-100247,USR-204098,Paid Search,Product Launch,Desktop,2026-01-09 17:51:16,2026-01-09 17:53:16,,
SESS-100248,USR-206274,Direct,None,Tablet,2026-04-16 13:16:26,,,
SESS-100249,USR-206219,Organic Search,None,Tablet,2026-01-14 07:04:15,2026-01-14 07:21:15,,
SESS-100250,USR-205727,Paid Social,,Mobile,2026-04-07 10:28:44,,,
SESS-100251,USR-204279,Paid Search,Spring Promo,Mobile,2026-01-27 18:41:40,,,
SESS-100252,USR-205652,Direct,None,Tablet,2026-06-06 14:06:12,,,
SESS-100253,USR-204399,Paid Social,Product Launch,Mobile,2026-04-18 08:04:01,,,
SESS-100254,USR-203012,Referral,None,Mobile,2026-03-06 16:40:55,,,
SESS-100255,USR-200873,Referral,None,Mobile,2026-01-09 03:33:22,,,
SESS-100256,USR-204305,Paid_Social,Brand Awareness,Tablet,2026-01-03 04:14:01,,,
SESS-100257,USR-201323,Organic Search,None,Desktop,2026-05-30 00:40:01,,,
SESS-100258,USR-204279,Paid Social,Winter Sale,Tablet,2026-05-10 03:42:53,,,
SESS-100259,USR-203374,Direct,None,Desktop,11/01/2026 11:02:08,11/01/2026 11:08:08,,
SESS-100260,USR-202772,Email,Newsletter Vol 12,Mobile,2026-05-20 20:10:54,,,
SESS-100261,USR-202060,Referral,None,Mobile,2026-01-18 05:39:43,,,
SESS-100262,USR-200636,Organic Search,None,DESKTOP,20/01/2026 11:06:31,,,
SESS-100263,USR-203542,Email,Newsletter Vol 12,tablet,2026-05-11 03:54:32,2026-05-11 03:57:32,,
SESS-100264,USR-200281,Paid Social,Product Launch,Tablet,2026-06-16 05:01:58,2026-06-16 05:28:58,2026-06-17 09:28:58,
SESS-100265,USR-202284,Paid Social,Winter Sale,Desktop,2026-06-10 17:29:23,2026-06-10 17:34:23,2026-06-13 19:34:23,2026-06-20 23:34:23
SESS-100266,USR-206896,Paid Social,Brand Awareness,Desktop,28/01/2026 21:55:43,,,
SESS-100267,USR-201058,Organic Search,None,Mobile,2026-04-18 23:46:55,,,
SESS-100268,USR-207185,Organic Search,None,Desktop,2026-05-10 04:34:06,,,
SESS-100269,USR-205992,Direct,None,Desktop,2026-02-02 06:30:53,2026-02-02 06:48:53,,
SESS-100270,USR-203575,Direct,None,Tablet,2026-01-30 05:38:25,2026-01-30 05:40:25,,
SESS-100271,USR-204361,Organic Search,None,Tablet,2026-05-15 10:32:04,,,
SESS-100272,USR-203779,Paid Search,Brand Awareness,Tablet,14/06/2026 04:15:14,,,
SESS-100273,USR-203075,Organic Search,None,Desktop,2026-05-06 05:15:50,2026-05-06 05:25:50,,
SESS-100274,USR-206903,Referral,None,Desktop,2026-02-03 08:38:46,2026-02-03 09:04:46,2026-02-05 16:04:46,
SESS-100275,USR-205389,Paid Search,Brand Awareness,Tablet,2026-04-12 14:14:28,2026-04-12 14:38:28,,
SESS-100276,USR-202422,Paid_Social,Product Launch,Tablet,2026-04-16 02:14:41,,,
SESS-100277,USR-201852,Direct,None,Tablet,2026-05-23 11:04:41,,,
SESS-100278,USR-201159,Paid Social,Spring Promo,Tablet,25/05/2026 16:49:23,25/05/2026 17:00:23,28/05/2026 06:00:23,10/06/2026 23:00:23
SESS-100279,USR-207287,Email,Newsletter Vol 12,Desktop,28/03/2026 06:49:31,28/03/2026 07:08:31,,
SESS-100280,USR-200447,Paid Social,Product Launch,Mobile,13/02/2026 04:13:38,,,
SESS-100281,USR-201627,Organic Search,None,Mobile,2026-01-28 19:51:49,,,
SESS-100282,USR-201586,Paid Social,Retargeting Ads,Desktop,2026-03-06 08:22:01,,,
SESS-100283,USR-204556,PAID SOCIAL,Spring Promo,Desktop,2026-05-23 06:53:09,2026-05-23 07:02:09,2026-05-25 02:02:09,
SESS-100284,USR-207439,Direct,None,Mobile,2026-01-30 04:25:13,,,
SESS-100285,USR-200339,Email,Newsletter Vol 12,Mobile,2026-03-19 16:32:40,2026-03-19 17:16:40,2026-03-22 11:16:40,
SESS-100286,USR-207893,Direct,None,tablet,2026-01-12 06:39:08,,,
SESS-100287,USR-200992,Organic Search,None,Tablet,2026-04-22 00:25:22,,,
SESS-100288,USR-207976,Organic Search,None,Mobile,2026-02-20 07:49:21,,,
